text,category
biaya pendaftaran ujian semester,Pendidikan
kursus pemrograman python,Pendidikan
tiket krl jabodetabek kali,Transportasi
pembelian emote game,Hiburan
Tagihan iuran air tanah,Utilitas
harga tas selempang promo,Belanja
Biaya masker kain,Kesehatan
es kopi gula aren paket,Makanan dan Minuman
tiket kereta api km,Transportasi
biaya obat kumur antiseptik,Kesehatan
suplemen herbal,Kesehatan
iuran air bersih,Utilitas
tiket ke acara balapan malam,Hiburan
Harga blazer wanita promo,Belanja
Tiket tiket acara seni jam,Hiburan
buku software engineering periode,Pendidikan
Harga ke pameran teknologi,Hiburan
Total cappuccino panas kecil,Makanan dan Minuman
Total donat tabur gula x1,Makanan dan Minuman
tiket MRT,Transportasi
Tagihan langganan internet premium,Utilitas
Harga milkshake vanilla,Makanan dan Minuman
tiket taman hiburan,Hiburan
pembayaran IndiHome,Utilitas
obat herbal untuk tidur paket,Kesehatan
Diskon tas punggung anak,Belanja
kelas bahasa Korea,Pendidikan
bimbel matematika semester,Pendidikan
Harga membership komunitas olahraga,Hiburan
krim pereda gatal satuan,Kesehatan
langganan Netflix bulanan bulan,Utilitas
Total buku jurnal akademik,Pendidikan
steak sapi saus jamur,Makanan dan Minuman
tas laptop untuk pelajar program,Pendidikan
Diskon jaket windbreaker promo,Belanja
Total workshop profesional program,Pendidikan
krim anti alergi,Kesehatan
es campur segar,Makanan dan Minuman
sosis bakar bbq,Makanan dan Minuman
ke arena balap gokart,Hiburan
Diskon sepatu boots,Belanja
Harga lip balm,Belanja
tiket bus malam,Transportasi
Total penghapus program,Pendidikan
Total jam tangan pintar,Belanja
ayam goreng lalapan,Makanan dan Minuman
kursus coding program,Pendidikan
buku jurnal akademik,Pendidikan
buku panduan presentasi,Pendidikan
Total konsultasi gizi resep,Kesehatan
total terapi fisio,Kesehatan
Total obat antiseptik,Kesehatan
Diskon tas laptop,Belanja
grab ke bandara,Transportasi
Total sate taichan pedas porsi,Makanan dan Minuman
baju casual,Belanja
sate taichan pedas,Makanan dan Minuman
Total salad sayur mayones,Makanan dan Minuman
harga es teler jumbo porsi,Makanan dan Minuman
angkot jarak dekat,Transportasi
Harga ke acara cosplay,Hiburan
harga kertas folio semester,Pendidikan
penggantian ban mobil kali,Transportasi
Harga tiket wahana taman air,Hiburan
biaya sertifikasi TOEFL,Pendidikan
biaya token listrik 100 ribu aktif,Utilitas
parkir motor mall km,Transportasi
Harga kapsul echinacea,Kesehatan
Harga pelatihan bisnis program,Pendidikan
Biaya langganan streaming,Utilitas
ojek pangkalan km,Transportasi
tagihan bulanan IndiHome,Utilitas
Biaya langganan jurnal ilmiah,Pendidikan
Total pizza deluxe pepperoni,Makanan dan Minuman
masker bedah resep,Kesehatan
Biaya biaya antar logistik,Transportasi
donat isi cokelat porsi,Makanan dan Minuman
Biaya internet rumah unlimited periode,Utilitas
kursus privat periode,Pendidikan
Biaya tiket perjalanan kereta hari,Transportasi
buku referensi,Pendidikan
celana pendek promo,Belanja
Total lip gloss promo,Belanja
Total kelas retorika,Pendidikan
